Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350990 CANANEIA;1425;1464;1512;1556;1608;1659;1721;1778;1839;1901;1973;2040;2109;2178;2236;2296;2365;2430;2506
350995 CANAS;361;368;380;390;403;418;440;459;483;502;524;550;579;606;633;663;686;724;755
351000 CANDIDO MOTA;3923;4035;4144;4260;4374;4494;4619;4749;4884;5023;5174;5326;5482;5635;5761;5887;6046;6219;6412
351010 CANDIDO RODRIGUES;483;492;501;512;525;532;540;553;566;581;599;619;639;658;671;693;705;721;739
351015 CANITAR;348;362;374;394;411;428;450;470;492;517;538;567;591;617;637;666;695;731;754
351020 CAPAO BONITO;4895;5046;5200;5356;5517;5677;5838;6001;6172;6344;6524;6709;6897;7075;7217;7358;7541;7737;7966
351030 CAPELA DO ALTO;1542;1623;1698;1783;1869;1957;2045;2141;2244;2349;2468;2592;2721;2860;2980;3104;3252;3404;3519
351040 CAPIVARI;4756;4889;5044;5201;5384;5579;5789;6009;6231;6462;6702;6957;7225;7487;7714;7948;8229;8526;8846
351050 CARAGUATATUBA;9342;9906;10514;11141;11791;12485;13225;14020;14862;15745;16667;17617;18599;19585;20487;21378;22347;23382;24182
351060 CARAPICUIBA;25327;26737;28236;29829;31500;33232;34997;36812;38690;40617;42555;44455;46337;48135;49727;51336;53213;55212;57229
351070 CARDOSO;1875;1917;1967;2009;2062;2124;2194;2259;2331;2396;2470;2539;2614;2681;2730;2786;2852;2922;3014
351080 CASA BRANCA;3812;3872;3937;4015;4102;4205;4307;4405;4507;4617;4725;4840;4960;5076;5162;5254;5381;5514;5666
351090 CASSIA DOS COQUEIROS;389;392;394;408;421;434;448;469;492;517;539;558;586;611;631;650;669;700;722
351100 CASTILHO;2072;2143;2224;2300;2384;2477;2585;2695;2808;2925;3043;3172;3303;3436;3549;3665;3798;3943;4092
351110 CATANDUVA;15928;16334;16768;17198;17645;18089;18552;19028;19510;20005;20515;21043;21578;22066;22456;22854;23394;23988;24640
351120 CATIGUA;814;837;857;877;906;935;966;994;1022;1057;1090;1122;1155;1188;1209;1239;1280;1327;1375
351130 CEDRAL;1207;1246;1289;1330;1366;1409;1455;1505;1566;1626;1694;1771;1849;1934;2004;2071;2152;2232;2264
351140 CERQUEIRA CESAR;2072;2138;2205;2277;2352;2429;2511;2596;2689;2786;2886;2993;3097;3205;3300;3386;3495;3608;3701
351150 CERQUILHO;3885;4098;4321;4547;4776;5005;5243;5493;5753;6023;6303;6589;6883;7168;7422;7673;7950;8247;8521
351160 CESARIO LANGE;1586;1652;1725;1804;1879;1961;2041;2130;2218;2306;2409;2513;2617;2722;2814;2908;3020;3139;3231
351170 CHARQUEADA;1552;1609;1659;1717;1774;1835;1895;1957;2021;2087;2164;2240;2315;2390;2449;2516;2598;2684;2770
351190 CLEMENTINA;683;706;732;751;776;801;827;861;891;927;962;994;1042;1081;1111;1147;1193;1233;1283
351200 COLINA;2108;2168;2223;2287;2354;2420;2490;2563;2636;2713;2796;2879;2966;3059;3133;3211;3311;3416;3522
351210 COLOMBIA;586;609;635;657;681;709;741;771;801;837;878;909;956;1002;1034;1075;1118;1170;1214
351220 CONCHAL;2289;2372;2462;2559;2657;2758;2864;2977;3095;3217;3339;3469;3602;3728;3847;3964;4105;4251;4402
351230 CONCHAS;2251;2300;2357;2411;2460;2512;2566;2625;2689;2753;2822;2904;2990;3064;3125;3192;3268;3348;3441
351240 CORDEIROPOLIS;2113;2197;2284;2369;2454;2538;2621;2716;2804;2903;3003;3112;3222;3323;3413;3509;3623;3750;3854
351250 COROADOS;586;611;635;662;687;713;744;775;803;835;868;900;934;967;985;1018;1047;1085;1123
351260 CORONEL MACEDO;625;639;653;669;683;702;724;747;763;786;811;832;857;882;895;917;936;960;992
351270 CORUMBATAI;465;478;492;505;517;532;542;554;568;579;593;613;632;653;669;692;713;740;763
351280 COSMOPOLIS;4824;5042;5278;5507;5751;6002;6268;6542;6828;7129;7434;7759;8087;8411;8701;8998;9357;9729;10133
351290 COSMORAMA;1271;1293;1323;1353;1388;1422;1455;1493;1530;1570;1617;1660;1704;1746;1772;1802;1844;1885;1910
351300 COTIA;13110;13993;14946;15955;17028;18171;19392;20697;22077;23538;25071;26671;28328;29997;31572;33187;34988;36897;38391
351310 CRAVINHOS;3260;3376;3496;3627;3756;3899;4050;4207;4371;4546;4731;4928;5134;5340;5518;5696;5898;6111;6338
351320 CRISTAIS PAULISTA;763;790;822;861;888;932;976;1034;1088;1141;1209;1270;1346;1414;1478;1540;1610;1669;1728
351330 CRUZALIA;322;323;329;335;343;354;365;378;390;408;426;439;452;473;488;507;517;542;555
351340 CRUZEIRO;8725;9011;9314;9637;9973;10332;10701;11082;11473;11878;12305;12741;13173;13589;13939;14286;14703;15123;15620
351350 CUBATAO;8391;8718;9076;9463;9896;10358;10844;11336;11842;12366;12895;13415;13932;14421;14863;15330;15912;16522;17227
351360 CUNHA;2797;2865;2944;3026;3113;3203;3302;3402;3502;3615;3733;3858;3990;4115;4231;4353;4505;4668;4853
351370 DESCALVADO;4020;4143;4273;4404;4531;4665;4812;4961;5114;5272;5440;5608;5785;5944;6080;6213;6380;6551;6757
351380 DIADEMA;25806;27135;28552;30068;31695;33422;35199;37054;38997;41008;43090;45208;47353;49443;51331;53262;55465;57784;60213
351385 DIRCE REIS;290;299;307;315;323;327;335;338;342;350;359;366;370;375;379;384;386;403;419
351390 DIVINOLANDIA;1622;1662;1711;1760;1817;1880;1936;2000;2061;2125;2188;2256;2321;2384;2431;2475;2532;2595;2651
351400 DOBRADA;642;660;683;705;734;759;793;821;859;891;930;965;1009;1046;1076;1114;1158;1206;1262
351410 DOIS CORREGOS;3161;3218;3281;3344;3416;3486;3563;3648;3732;3819;3916;4019;4134;4230;4315;4399;4506;4622;4747
351420 DOLCINOPOLIS;358;363;374;378;390;398;409;415;421;429;439;454;470;479;487;500;507;523;539
351430 DOURADO;1274;1304;1331;1367;1393;1418;1442;1470;1497;1526;1562;1595;1631;1665;1689;1715;1753;1794;1840
