 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: São Paulo
Idade simples: Menos que 1 ano de idade, 1  ano, 2  anos, 3  anos, 4  anos, 5  anos, 6  anos, 7  anos, 8  anos, 9  anos, 10 anos, 11 anos, 12 anos
Período:2015-2019
"Município";"2015";"2016";"2017";"2018";"2019"
"354150 PRESIDENTE VENCESLAU";5739;5643;5560;5504;5469
"354160 PROMISSAO";6799;6718;6630;6551;6473
"354165 QUADRA";683;681;673;665;654
"354170 QUATA";2554;2540;2527;2519;2506
"354180 QUEIROZ";657;655;653;656;658
"354190 QUELUZ";2061;1991;1931;1874;1830
"354200 QUINTANA";1119;1129;1146;1172;1206
"354210 RAFARD";1628;1617;1608;1607;1613
"354220 RANCHARIA";5140;5081;5041;5029;5031
"354230 REDENCAO DA SERRA";784;778;774;773;767
"354240 REGENTE FEIJO";3376;3377;3381;3380;3380
"354250 REGINOPOLIS";1009;1017;1020;1017;1011
"354260 REGISTRO";11587;11523;11458;11416;11376
"354270 RESTINGA";1492;1470;1438;1405;1370
"354280 RIBEIRA";693;677;657;645;626
"354290 RIBEIRAO BONITO";2388;2334;2277;2210;2147
"354300 RIBEIRAO BRANCO";4310;4230;4157;4104;4066
"354310 RIBEIRAO CORRENTE";955;956;959;963;960
"354320 RIBEIRAO DO SUL";768;761;759;757;763
"354323 RIBEIRAO DOS INDIOS";320;310;301;298;295
"354325 RIBEIRAO GRANDE";1485;1458;1433;1408;1385
